filename,label
images\000000_00_buka.png,(
images\000001_00_buka.png,(
images\000002_00_buka.png,(
images\000003_00_buka.png,(
images\000004_00_buka.png,(
images\000005_00_buka.png,(
images\000006_00_buka.png,(
images\000007_00_buka.png,(
images\000008_00_buka.png,(
images\000009_00_buka.png,(
images\000010_00_buka.png,(
images\000011_00_buka.png,(
images\000012_00_buka.png,(
images\000013_00_buka.png,(
images\000014_00_buka.png,(
images\000015_00_buka.png,(
images\000016_00_buka.png,(
images\000017_00_buka.png,(
images\000018_00_buka.png,(
images\000019_00_buka.png,(
images\000020_00_buka.png,(
images\000021_00_buka.png,(
images\000022_00_buka.png,(
images\000023_00_buka.png,(
images\000024_00_buka.png,(
images\000025_00_buka.png,(
images\000026_00_buka.png,(
images\000027_00_buka.png,(
images\000028_00_buka.png,(
images\000029_00_buka.png,(
images\000030_00_buka.png,(
images\000031_00_buka.png,(
images\000032_00_buka.png,(
images\000033_00_buka.png,(
images\000034_00_buka.png,(
images\000035_00_buka.png,(
images\000036_00_buka.png,(
images\000037_00_buka.png,(
images\000038_00_buka.png,(
images\000039_00_buka.png,(
images\000040_00_buka.png,(
images\000041_00_buka.png,(
images\000042_00_buka.png,(
images\000043_00_buka.png,(
images\000044_00_buka.png,(
images\000045_00_buka.png,(
images\000046_00_buka.png,(
images\000047_00_buka.png,(
images\000048_00_buka.png,(
images\000049_00_buka.png,(
images\000050_00_buka.png,(
images\000051_00_buka.png,(
images\000052_00_buka.png,(
images\000053_00_buka.png,(
images\000054_00_buka.png,(
images\000055_00_buka.png,(
images\000056_00_buka.png,(
images\000057_00_buka.png,(
images\000058_00_buka.png,(
images\000059_00_buka.png,(
images\000060_00_buka.png,(
images\000061_00_buka.png,(
images\000062_00_buka.png,(
images\000063_00_buka.png,(
images\000064_00_buka.png,(
images\000065_00_buka.png,(
images\000066_00_buka.png,(
images\000067_00_buka.png,(
images\000068_00_buka.png,(
images\000069_00_buka.png,(
images\000070_00_buka.png,(
images\000071_00_buka.png,(
images\000072_00_buka.png,(
images\000073_00_buka.png,(
images\000074_00_buka.png,(
images\000075_00_buka.png,(
images\000076_00_buka.png,(
images\000077_00_buka.png,(
images\000078_00_buka.png,(
images\000079_00_buka.png,(
images\000080_00_buka.png,(
images\000081_00_buka.png,(
images\000082_00_buka.png,(
images\000083_00_buka.png,(
images\000084_00_buka.png,(
images\000085_00_buka.png,(
images\000086_00_buka.png,(
images\000087_00_buka.png,(
images\000088_00_buka.png,(
images\000089_00_buka.png,(
images\000090_00_buka.png,(
images\000091_00_buka.png,(
images\000092_00_buka.png,(
images\000093_00_buka.png,(
images\000094_00_buka.png,(
images\000095_00_buka.png,(
images\000096_00_buka.png,(
images\000097_00_buka.png,(
images\000098_00_buka.png,(
images\000099_00_buka.png,(
images\000100_00_tutup.png,)
images\000101_00_tutup.png,)
images\000102_00_tutup.png,)
images\000103_00_tutup.png,)
images\000104_00_tutup.png,)
images\000105_00_tutup.png,)
images\000106_00_tutup.png,)
images\000107_00_tutup.png,)
images\000108_00_tutup.png,)
images\000109_00_tutup.png,)
images\000110_00_tutup.png,)
images\000111_00_tutup.png,)
images\000112_00_tutup.png,)
images\000113_00_tutup.png,)
images\000114_00_tutup.png,)
images\000115_00_tutup.png,)
images\000116_00_tutup.png,)
images\000117_00_tutup.png,)
images\000118_00_tutup.png,)
images\000119_00_tutup.png,)
images\000120_00_tutup.png,)
images\000121_00_tutup.png,)
images\000122_00_tutup.png,)
images\000123_00_tutup.png,)
images\000124_00_tutup.png,)
images\000125_00_tutup.png,)
images\000126_00_tutup.png,)
images\000127_00_tutup.png,)
images\000128_00_tutup.png,)
images\000129_00_tutup.png,)
images\000130_00_tutup.png,)
images\000131_00_tutup.png,)
images\000132_00_tutup.png,)
images\000133_00_tutup.png,)
images\000134_00_tutup.png,)
images\000135_00_tutup.png,)
images\000136_00_tutup.png,)
images\000137_00_tutup.png,)
images\000138_00_tutup.png,)
images\000139_00_tutup.png,)
images\000140_00_tutup.png,)
images\000141_00_tutup.png,)
images\000142_00_tutup.png,)
images\000143_00_tutup.png,)
images\000144_00_tutup.png,)
images\000145_00_tutup.png,)
images\000146_00_tutup.png,)
images\000147_00_tutup.png,)
images\000148_00_tutup.png,)
images\000149_00_tutup.png,)
images\000150_00_tutup.png,)
images\000151_00_tutup.png,)
images\000152_00_tutup.png,)
images\000153_00_tutup.png,)
images\000154_00_tutup.png,)
images\000155_00_tutup.png,)
images\000156_00_tutup.png,)
images\000157_00_tutup.png,)
images\000158_00_tutup.png,)
images\000159_00_tutup.png,)
images\000160_00_tutup.png,)
images\000161_00_tutup.png,)
images\000162_00_tutup.png,)
images\000163_00_tutup.png,)
images\000164_00_tutup.png,)
images\000165_00_tutup.png,)
images\000166_00_tutup.png,)
images\000167_00_tutup.png,)
images\000168_00_tutup.png,)
images\000169_00_tutup.png,)
images\000170_00_tutup.png,)
images\000171_00_tutup.png,)
images\000172_00_tutup.png,)
images\000173_00_tutup.png,)
images\000174_00_tutup.png,)
images\000175_00_tutup.png,)
images\000176_00_tutup.png,)
images\000177_00_tutup.png,)
images\000178_00_tutup.png,)
images\000179_00_tutup.png,)
images\000180_00_tutup.png,)
images\000181_00_tutup.png,)
images\000182_00_tutup.png,)
images\000183_00_tutup.png,)
images\000184_00_tutup.png,)
images\000185_00_tutup.png,)
images\000186_00_tutup.png,)
images\000187_00_tutup.png,)
images\000188_00_tutup.png,)
images\000189_00_tutup.png,)
images\000190_00_tutup.png,)
images\000191_00_tutup.png,)
images\000192_00_tutup.png,)
images\000193_00_tutup.png,)
images\000194_00_tutup.png,)
images\000195_00_tutup.png,)
images\000196_00_tutup.png,)
images\000197_00_tutup.png,)
images\000198_00_tutup.png,)
images\000199_00_tutup.png,)
images\000200_00_plus.png,+
images\000201_00_plus.png,+
images\000202_00_plus.png,+
images\000203_00_plus.png,+
images\000204_00_plus.png,+
images\000205_00_plus.png,+
images\000206_00_plus.png,+
images\000207_00_plus.png,+
images\000208_00_plus.png,+
images\000209_00_plus.png,+
images\000210_00_plus.png,+
images\000211_00_plus.png,+
images\000212_00_plus.png,+
images\000213_00_plus.png,+
images\000214_00_plus.png,+
images\000215_00_plus.png,+
images\000216_00_plus.png,+
images\000217_00_plus.png,+
images\000218_00_plus.png,+
images\000219_00_plus.png,+
images\000220_00_plus.png,+
images\000221_00_plus.png,+
images\000222_00_plus.png,+
images\000223_00_plus.png,+
images\000224_00_plus.png,+
images\000225_00_plus.png,+
images\000226_00_plus.png,+
images\000227_00_plus.png,+
images\000228_00_plus.png,+
images\000229_00_plus.png,+
images\000230_00_plus.png,+
images\000231_00_plus.png,+
images\000232_00_plus.png,+
images\000233_00_plus.png,+
images\000234_00_plus.png,+
images\000235_00_plus.png,+
images\000236_00_plus.png,+
images\000237_00_plus.png,+
images\000238_00_plus.png,+
images\000239_00_plus.png,+
images\000240_00_plus.png,+
images\000241_00_plus.png,+
images\000242_00_plus.png,+
images\000243_00_plus.png,+
images\000244_00_plus.png,+
images\000245_00_plus.png,+
images\000246_00_plus.png,+
images\000247_00_plus.png,+
images\000248_00_plus.png,+
images\000249_00_plus.png,+
images\000250_00_plus.png,+
images\000251_00_plus.png,+
images\000252_00_plus.png,+
images\000253_00_plus.png,+
images\000254_00_plus.png,+
images\000255_00_plus.png,+
images\000256_00_plus.png,+
images\000257_00_plus.png,+
images\000258_00_plus.png,+
images\000259_00_plus.png,+
images\000260_00_plus.png,+
images\000261_00_plus.png,+
images\000262_00_plus.png,+
images\000263_00_plus.png,+
images\000264_00_plus.png,+
images\000265_00_plus.png,+
images\000266_00_plus.png,+
images\000267_00_plus.png,+
images\000268_00_plus.png,+
images\000269_00_plus.png,+
images\000270_00_plus.png,+
images\000271_00_plus.png,+
images\000272_00_plus.png,+
images\000273_00_plus.png,+
images\000274_00_plus.png,+
images\000275_00_plus.png,+
images\000276_00_plus.png,+
images\000277_00_plus.png,+
images\000278_00_plus.png,+
images\000279_00_plus.png,+
images\000280_00_plus.png,+
images\000281_00_plus.png,+
images\000282_00_plus.png,+
images\000283_00_plus.png,+
images\000284_00_plus.png,+
images\000285_00_plus.png,+
images\000286_00_plus.png,+
images\000287_00_plus.png,+
images\000288_00_plus.png,+
images\000289_00_plus.png,+
images\000290_00_plus.png,+
